net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
7.15,196187,227191,227191,75.73,6.27,3.33,7.69,40.95,26.6,408,353,364,258,53.23,492,380,368,377,237
8.14,227191,257737,257737,85.91,6.23,3.33,7.69,42.34,26.73,403,347,383,123,53.58,626,379,362,377,373
9.97,257737,287724,287724,95.91,6.91,3.31,7.66,43.91,26.31,393,337,368,0,54.07,772,357,387,386,492
11.4,287724,318302,318302,106.1,6.98,3.3,7.65,44.25,26.37,380,368,377,0,54.98,900,353,364,258,626
12.22,318302,348388,348388,116.13,6.78,3.31,7.67,44.68,26.24,379,362,377,0,55.64,1029,347,383,123,772
11.6,348388,377108,377108,125.7,5.96,3.3,7.65,44.63,26.38,357,387,386,0,55.66,1165,337,368,0,900
14.47,377108,406042,406042,135.35,6.75,3.3,7.65,46.46,26.71,353,364,258,0,55.97,1280,368,377,0,1029
14.11,406042,433969,433969,144.66,6.3,3.29,7.64,47.77,26.84,347,383,123,0,56.09,1408,362,377,0,1165
16.17,433969,460741,460741,153.58,6.79,3.29,7.64,49.36,26.32,337,368,0,0,56.43,1522,387,386,0,1280
17.0,460741,487510,487510,162.5,6.75,3.31,7.66,49.51,26.36,368,377,0,0,57.15,1633,364,258,0,1408
18.72,487510,513252,511279,170.43,7.08,3.32,7.67,49.83,26.13,360,375,1,2,57.56,1748,389,122,3,1509
19.21,511279,537286,537286,179.1,6.94,3.31,7.66,49.59,26.4,389,383,0,2,57.65,1851,370,2,3,1625
20.36,537286,562051,562051,187.35,7.09,3.3,7.66,51.27,26.82,369,256,1,1,57.73,1991,377,2,3,1748
21.44,562051,587182,577537,192.51,7.36,3.29,7.64,52.01,27.03,404,126,5,16,57.63,2060,378,7,4,1799
19.01,577537,603297,603297,201.1,6.25,3.28,7.64,53.43,26.3,388,8,5,16,57.81,2193,383,4,3,1943
22.48,603297,626674,626674,208.89,7.05,3.28,7.63,54.06,26.67,384,6,4,16,58.4,2322,260,6,2,2060
22.91,626674,650034,650034,216.68,7.03,3.28,7.64,54.53,26.21,378,7,4,0,58.75,2464,126,5,16,2193
23.62,650034,672709,672709,224.24,6.95,3.27,7.63,54.59,26.3,383,4,3,0,58.82,2581,8,5,16,2322
23.29,672709,692200,670530,223.51,6.87,3.26,7.62,55.25,27.23,285,7,6,33,58.72,2613,36,8,12,2321
22.72,670530,690650,640939,213.65,7.0,3.25,7.61,54.68,26.74,203,14,15,118,58.37,2523,106,13,8,2179
23.09,640939,663662,663662,221.22,6.94,3.25,7.6,55.54,25.89,138,14,13,116,58.6,2661,37,14,7,2340
23.99,663662,682945,682945,227.65,6.98,3.24,7.59,56.61,27.65,130,13,15,86,59.17,2693,16,13,34,2523
